,Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Rank,Date,Platform
22,D.Va,TANK,1.41,51.03,2.02,4.87,Master,2020-05-24 11:59:13.886732,PC
23,Baptiste,SUPPORT,1.38,46.79,1.58,13.72,Master,2020-05-24 11:59:13.886732,PC
24,Zenyatta,SUPPORT,1.18,53.60,1.49,5.62,Master,2020-05-24 11:59:13.886732,PC
25,Junkrat,DEFENSE,0.71,57.89,2.66,9.53,Master,2020-05-24 11:59:13.886732,PC
26,Mei,DEFENSE,0.68,50.21,3.01,5.49,Master,2020-05-24 11:59:13.886732,PC
27,Reaper,OFFENSE,0.64,51.53,2.35,10.15,Master,2020-05-24 11:59:13.886732,PC
28,Pharah,OFFENSE,0.62,54.42,0.66,14.79,Master,2020-05-24 11:59:13.886732,PC
29,Symmetra,SUPPORT,0.49,58.76,1.94,7.70,Master,2020-05-24 11:59:13.886732,PC
30,Sombra,OFFENSE,0.44,50.00,2.80,11.51,Master,2020-05-24 11:59:13.886732,PC
31,Bastion,DEFENSE,0.14,57.84,1.92,10.93,Master,2020-05-24 11:59:13.886732,PC
0,Ana,SUPPORT,13.16,54.20,2.43,10.14,Grandmaster,2020-05-24 12:00:03.487597,PC
1,Reinhardt,TANK,10.08,55.29,2.46,7.06,Grandmaster,2020-05-24 12:00:03.487597,PC
2,Brigitte,SUPPORT,6.81,54.37,2.29,4.37,Grandmaster,2020-05-24 12:00:03.487597,PC
3,Sigma,TANK,5.92,51.74,2.64,13.20,Grandmaster,2020-05-24 12:00:03.487597,PC
4,Zarya,TANK,5.43,57.78,2.38,15.29,Grandmaster,2020-05-24 12:00:03.487597,PC
5,Lúcio,SUPPORT,5.37,51.76,2.17,12.02,Grandmaster,2020-05-24 12:00:03.487597,PC
6,McCree,OFFENSE,4.79,51.26,1.82,7.38,Grandmaster,2020-05-24 12:00:03.487597,PC
7,Wrecking Ball,TANK,4.15,52.30,1.65,3.50,Grandmaster,2020-05-24 12:00:03.487597,PC
8,Mercy,SUPPORT,3.96,55.18,2.07,2.50,Grandmaster,2020-05-24 12:00:03.487597,PC
9,Orisa,TANK,3.85,50.63,2.40,6.79,Grandmaster,2020-05-24 12:00:03.487597,PC
10,Moira,SUPPORT,3.50,52.23,2.11,11.16,Grandmaster,2020-05-24 12:00:03.487597,PC
11,Ashe,OFFENSE,3.14,55.60,2.44,11.16,Grandmaster,2020-05-24 12:00:03.487597,PC
12,Tracer,OFFENSE,2.65,56.07,1.50,7.50,Grandmaster,2020-05-24 12:00:03.487597,PC
13,Winston,TANK,2.58,53.08,1.85,5.78,Grandmaster,2020-05-24 12:00:03.487597,PC
14,Widowmaker,DEFENSE,2.46,53.33,1.93,6.59,Grandmaster,2020-05-24 12:00:03.487597,PC
15,D.Va,TANK,2.45,52.97,1.94,5.12,Grandmaster,2020-05-24 12:00:03.487597,PC
16,Zenyatta,SUPPORT,2.35,51.38,2.36,5.51,Grandmaster,2020-05-24 12:00:03.487597,PC
17,Roadhog,TANK,2.23,51.62,1.18,8.81,Grandmaster,2020-05-24 12:00:03.487597,PC
18,Baptiste,SUPPORT,2.14,52.23,3.21,15.49,Grandmaster,2020-05-24 12:00:03.487597,PC
